fecha,nombre,idpar,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,
4/29/2024,CENIS (SOLAR LA CENIZA),P  ,0,0,0,0,0,0,0,0.3,0.8,1.1,1.6,1.8,2.1,1.7,1.5,1,0.5,0.3,0.1,0,0,0,0,0,0,
4/29/2024,CENIS (SOLAR LA CENIZA),Q  ,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,
4/29/2024,CENIS (SOLAR LA CENIZA),VV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,CENIS (SOLAR LA CENIZA),AV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,CENIS (SOLAR LA CENIZA),IR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,CENIS (SOLAR LA CENIZA),TA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,CENIS (SOLAR LA CENIZA),TM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,CORES (SOLAR CORTES),P  ,0,0,0,0,0,0,0,0.3,0.7,1.1,1.4,1.6,1.9,1.4,1,0.8,0.4,0.2,0.1,0,0,0,0,0,0,
4/29/2024,CORES (SOLAR CORTES),Q  ,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,
4/29/2024,CORES (SOLAR CORTES),VV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,CORES (SOLAR CORTES),AV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,CORES (SOLAR CORTES),IR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,CORES (SOLAR CORTES),TA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,CORES (SOLAR CORTES),TM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,PIA2S (SOLAR PINAR 220 A-2),P  ,0,0,0,0,0,0,0,0.3,0.7,1,1.6,1.9,2.2,1.9,1.4,0.8,0.5,0.2,0.1,0,0,0,0,0,0,
4/29/2024,PIA2S (SOLAR PINAR 220 A-2),Q  ,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,
4/29/2024,PIA2S (SOLAR PINAR 220 A-2),VV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,PIA2S (SOLAR PINAR 220 A-2),AV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,PIA2S (SOLAR PINAR 220 A-2),IR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,PIA2S (SOLAR PINAR 220 A-2),TA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,PIA2S (SOLAR PINAR 220 A-2),TM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,PR2CS (SOLAR PINAR 220 C),P  ,0,0,0,0,0,0,0,0.4,0.9,1.2,1.5,1.6,1.8,2,1.7,1.3,0.8,0.4,0.1,0,0,0,0,0,0,
4/29/2024,PR2CS (SOLAR PINAR 220 C),Q  ,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0,0,0,0,0,0,0,
4/29/2024,PR2CS (SOLAR PINAR 220 C),VV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,PR2CS (SOLAR PINAR 220 C),AV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,PR2CS (SOLAR PINAR 220 C),IR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/29/2024,PR2CS (SOLAR PINAR 220 C),TA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
